,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,Y
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6489795918367347,1.0,0.7064073830916666,0.5714285714285714,0.14285714285714285,0.75,0.5
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6106060606060606,1.0,0.7064073830916666,0.5714285714285714,0.07142857142857142,0.5851055194805195,0.75
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7936507936507936,1.0,0.7771605679,0.2857142857142857,0.5714285714285714,1.0,0.9
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7771605679,0.2857142857142857,0.5,0.6162162162162163,1.0
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7424242424242424,1.0,0.7135038783631579,0.14285714285714285,0.42857142857142855,0.75,0.95
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5444444444444445,1.0,0.7135038783631579,0.14285714285714285,0.35714285714285715,0.95,0.75
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8666666666666667,1.0,0.7135038783631579,0.14285714285714285,0.2857142857142857,0.75,0.95
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.45,1.0,0.7135038783631579,0.14285714285714285,0.21428571428571427,0.6,0.75
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8142857142857143,1.0,0.7135038783631579,0.14285714285714285,0.14285714285714285,0.95,0.6
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.843939393939394,1.0,0.7135038783631579,0.14285714285714285,0.07142857142857142,0.8214594594594594,0.95
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7370059134765018,1.0,0.7219359825166667,0.5714285714285714,0.07142857142857142,0.5851055194805195,0.2
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8214285714285715,1.0,0.6727749606,0.2857142857142857,0.2857142857142857,0.95,0.85
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7687728937728938,1.0,0.6727749606,0.2857142857142857,0.21428571428571427,0.55,0.95
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.526098901098901,1.0,0.6727749606,0.2857142857142857,0.14285714285714285,0.85,0.55
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7428571428571429,1.0,0.6727749606,0.2857142857142857,0.07142857142857142,0.6956931359353971,0.85
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.49565217391304345,1.0,0.5154509441230769,0.5714285714285714,0.5,0.3,0.75
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6856060606060607,1.0,0.5154509441230769,0.5714285714285714,0.42857142857142855,0.35,0.3
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4967915798798152,1.0,0.5154509441230769,0.5714285714285714,0.35714285714285715,0.25,0.35
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.611111111111111,1.0,0.5154509441230769,0.5714285714285714,0.2857142857142857,0.25,0.25
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.47681818181818186,1.0,0.5154509441230769,0.5714285714285714,0.21428571428571427,0.45,0.25
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.40164835164835166,1.0,0.5154509441230769,0.5714285714285714,0.14285714285714285,0.4,0.45
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4949167791273055,1.0,0.5154509441230769,0.5714285714285714,0.07142857142857142,0.5851055194805195,0.4
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7694799658994033,1.0,0.7370342214966666,0.5714285714285714,0.5,0.35,0.65
